rec_id,lig_code,smiles,BM_scaffold,BM_scaffold_canon,scaffold_index,cluster_label
8dmf_1.pdb_8dmf_1_GTP_C.pdb,GTP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,157.0
7pqs_2.pdb_7pqs_2_80H_H.pdb,80H,CN(c1ncccc1CNc2ccnc(n2)c3[nH]c4c(F)c(Cl)ccc4n3)[S](C)(=O)=O,c1cncc(CNc2ccnc(-c3nc4ccccc4[nH]3)n2)c1,c1cncc(CNc2ccnc(-c3nc4ccccc4[nH]3)n2)c1,26,93.0
8uaq_1.pdb_8uaq_1_W3F_B.pdb,W3F,C[C@@H](NC(=O)c1ccc2NC(=O)C(=C\c3[nH]c(C)c(NC(=O)[C@@H](O)c4occc4)c3C)/c2c1)c5ccc(F)cc5,O=C(Cc1ccco1)Nc1c[nH]c(/C=C2\C(=O)Nc3ccc(C(=O)NCc4ccccc4)cc32)c1,O=C(Cc1ccco1)Nc1c[nH]c(C=C2C(=O)Nc3ccc(C(=O)NCc4ccccc4)cc32)c1,27,129.0
6uip_3.pdb_6uip_3_Q8J_F.pdb,Q8J,CCN1CCN(CC1)C(=O)Nc2cc(ccn2)c3cn(C4CCOCC4)c5cnccc35,O=C(Nc1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1)N1CCNCC1,O=C(Nc1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1)N1CCNCC1,28,129.0
6mvd_1.pdb_6mvd_1_H94_G.pdb,H94,O[C@@]1(CC(=O)Nc2n[nH]c(C3CCN(CC3)c4cc(c(cn4)C#N)C(F)(F)F)c12)C(F)(F)F,O=C1CCc2c(n[nH]c2C2CCN(c3ccccn3)CC2)N1,O=C1CCc2c(n[nH]c2C2CCN(c3ccccn3)CC2)N1,29,159.0
4quv_1.pdb_4quv_1_NDP_C.pdb,NDP,NC(=O)C1=CN(C=CC1)[C@@H]2O[C@H](CO[P@@](O)(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,O=[PH](OC[C@@H]1CC[C@H](N2C=CCC=C2)O1)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,O=[PH](OCC1CCC(N2C=CCC=C2)O1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,9,51.0
7c03_1.pdb_7c03_1_GYS_A.pdb,GYS,N[C@@H](CO)C1=N\C(=C/c2ccc(O)cc2)C(=O)N1CC(O)=O,O=C1NC=N/C1=C\c1ccccc1,O=C1NC=NC1=Cc1ccccc1,30,78.0
8pyi_8.pdb_8pyi_8_IER_P.pdb,IER,CCOc1cc(nc2c(F)c(ccc12)c3nc([C@@H]4C[C@](C)(O)C4)n5ccnc(N)c35)c6ccccc6,c1ccc(-c2ccc3ccc(-c4nc(C5CCC5)n5ccncc45)cc3n2)cc1,c1ccc(-c2ccc3ccc(-c4nc(C5CCC5)n5ccncc45)cc3n2)cc1,31,117.0
6su6_1.pdb_6su6_1_UPG_C.pdb,UPG,OC[C@H]1O[C@H](O[P](O)(=O)O[P](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N3C=CC(=O)NC3=O)[C@H](O)[C@@H](O)[C@@H]1O,O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[C@@H]3CCCCO3)O2)c(=O)[nH]1,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)OC3CCCCO3)O2)c(=O)[nH]1,32,64.0
4xu1_2.pdb_4xu1_2_44O_F.pdb,44O,Nc1ncnc2n(cnc12)[C@H]3CNC[C@@H](CO[S](=O)(=O)NC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)O3,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NS(=O)(=O)OC[C@@H]1CNC[C@H](n2cnc3cncnc32)O1,O=C(CCCCC1SCC2NC(=O)NC21)NS(=O)(=O)OCC1CNCC(n2cnc3cncnc32)O1,33,132.0
7w5j_2.pdb_7w5j_2_FPP_J.pdb,FPP,CC(C)=CCCC(/C)=C/CCC(/C)=C/CO[P@](O)(=O)O[P](O)(O)=O,,,0,21.0
4z5q_1.pdb_4z5q_1_HEM_B.pdb,HEM,CC1=C(CCC(O)=O)C2=Cc3n4[Fe]5|6|N2=C1C=c7n5c(=CC8=N|6C(=Cc4c(C)c3CCC(O)=O)C(=C8C=C)C)c(C)c7C=C,,,0,127.0
4a36_2.pdb_4a36_2_ADP_J.pdb,ADP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,105.0
3hhi_1.pdb_3hhi_1_074_C.pdb,074,CCCNC(=O)[C@@H](O)CC(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(O)=O,C1CCNC1,C1CCNC1,34,
1vpe_1.pdb_1vpe_1_ANP_C.pdb,ANP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)N[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,130.0
4yzl_1.pdb_4yzl_1_ILV_B.pdb,ILV,CC(C)[C@@H]1N(C)c2cccc3[nH]cc(C[C@@H](CO)NC1=O)c23,O=C1CNc2cccc3[nH]cc(c23)CCN1,O=C1CNc2cccc3[nH]cc(c23)CCN1,35,133.0
2hlv_1.pdb_2hlv_1_LIK_B.pdb,LIK,CCCCC(=C)CCC(=C)CC(O)=O,,,0,12.0
6qyc_2.pdb_6qyc_2_HEC_AA.pdb,HEC,C\C=C1/C(=C2C=C3N4C(=Cc5n6c(C=C7N8C(=C(C)\C7=C/C)C=C1N2[Fe@@]468)c(C)c5CCC(O)=O)C(=C3C)CCC(O)=O)C,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe@]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,36,75.0
6qyc_2.pdb_6qyc_2_HEC_U.pdb,HEC,C\C=C1/C(=C2C=C3N4C(=Cc5n6c(C=C7N8C(=C(C)\C7=C/C)C=C1N2[Fe@@]468)c(C)c5CCC(O)=O)C(=C3C)CCC(O)=O)C,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe@]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,36,53.0
6qyc_2.pdb_6qyc_2_HEC_Y.pdb,HEC,C\C=C1/C(=C2C=C3N4C(=Cc5n6c(C=C7N8C(=C(C)\C7=C/C)C=C1N2[Fe@@]468)c(C)c5CCC(O)=O)C(=C3C)CCC(O)=O)C,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe@]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,36,89.0
6qyc_2.pdb_6qyc_2_HEC_Z.pdb,HEC,C\C=C1/C(=C2C=C3N4C(=Cc5n6c(C=C7N8C(=C(C)\C7=C/C)C=C1N2[Fe@@]468)c(C)c5CCC(O)=O)C(=C3C)CCC(O)=O)C,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe@]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,36,
6qyc_2.pdb_6qyc_2_HEC_W.pdb,HEC,C\C=C1/C(=C2C=C3N4C(=Cc5n6c(C=C7N8C(=C(C)\C7=C/C)C=C1N2[Fe@@]468)c(C)c5CCC(O)=O)C(=C3C)CCC(O)=O)C,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe@]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,36,109.0
6qyc_2.pdb_6qyc_2_HEC_V.pdb,HEC,C\C=C1/C(=C2C=C3N4C(=Cc5n6c(C=C7N8C(=C(C)\C7=C/C)C=C1N2[Fe@@]468)c(C)c5CCC(O)=O)C(=C3C)CCC(O)=O)C,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe@]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,C=c1cc2[n]3c1=Cc1ccc4[n]1[Fe]31[n]3c(cc(=C)c3=C2)C=c2ccc([n]21)=C4,36,109.0
